Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Singh, Kedar Nath; Singh, Om Prakash; Baranwal, Naman; Singh, Amit Kumar; ",An efficient chaos-based image encryption algorithm using real-time object detection for smart city applications,Sustainable Energy Technologies and Assessments,53,,102566,2022,Elsevier
"Singh, Kedar Nath; Baranwal, Naman; Singh, Om Prakash; Singh, Amit Kumar; ",SIELNet: 3-D chaotic-map-based secure image encryption using customized residual dense spatial network,IEEE Transactions on Consumer Electronics,69,4,862-868,2022,IEEE
"Singh, Monu; Baranwal, Naman; Singh, Kedar Nath; Singh, Amit Kumar; ",Using GAN-based encryption to secure digital images with reconstruction through customized super resolution network,IEEE Transactions on Consumer Electronics,70,1,3977-3984,2023,IEEE
"Singh, Om Prakash; Singh, Kedar Nath; Baranwal, Naman; Agrawal, Amrit Kumar; Singh, Amit Kumar; Zhou, Huiyu; ",HIDEmarks: hiding multiple marks for robust medical data sharing using IWT-LSB,Multimedia Tools and Applications,83,8,24919-24937,2024,Springer US New York
"Baranwal, Naman; Singh, Kedar Nath; Singh, Amit Kumar; ",YOLO-based ROI selection for joint encryption and compression of medical images with reconstruction through super-resolution network,Future Generation Computer Systems,150,,1-9,2024,North-Holland
"Singh, Himanshu Kumar; Baranwal, Naman; Singh, Kedar Nath; Singh, Amit Kumar; Zhou, Huiyu; ",GAN-based watermarking for encrypted images in healthcare scenarios,Neurocomputing,560,,126853,2023,Elsevier
"Singh, Monu; Baranwal, Naman; Singh, Kedar Nath; Singh, Amit Kumar; Zhou, Huiyu; ",Deep learning-based biometric image feature extraction for securing medical images through data hiding and joint encryption–compression,Journal of Information Security and Applications,79,,103628,2023,Elsevier
"Amrit, P; Singh, KN; Baranwal, N; Singh, AK; Singh, JP; Zhou, Huiyu; ",Deep learning-based segmentation for medical data hiding with Galois field,Neural Computing and Applications,37,28,23635-23650,2025,Springer London London
"Baranwal, N; Singh, KN; Singh, AK; ",Using chaos to encrypt images with reconstruction through deep learning model for smart healthcare,Computers and Electrical Engineering,114,,109089,2024,Pergamon
"Singh, Himanshu Kumar; Baranwal, Naman; Singh, Kedar Nath; Singh, Amit Kumar; ",Using multimodal biometric fusion for watermarking of multiple images,IEEE Transactions on Consumer Electronics,70,1,3487-3494,2024,IEEE
"Priyanka; Baranwal, Naman; Singh, Kedar Nath; Singh, Om Prakash; Singh, Amit Kumar; ",HIDDEn: Robust data hiding for medical images with encryption and local binary pattern,"Circuits, Systems, and Signal Processing",43,7,4439-4459,2024,Springer US New York
"Singh, Himanshu Kumar; Baranwal, Naman; Singh, Kedar Nath; Singh, Amit Kumar; ",GANMarked: Using secure GAN for information hiding in digital images,IEEE Transactions on Consumer Electronics,70,3,6189-6195,2024,IEEE
"Singh, Kedar Nath; Baranwal, Naman; Singh, Om Prakash; Singh, Amit Kumar; ",DeepENC: Deep learning-based ROI selection for encryption of medical images through key generation with multimodal information fusion,IEEE Transactions on Consumer Electronics,70,3,6149-6156,2024,IEEE
"Amrit, Preetam; Baranwal, Naman; Singh, Kedar Nath; Singh, Amit Kumar; ",ConvNet-HIDE: deep-learning-based dual watermarking for health-care images,IEEE MultiMedia,31,3,78-87,2024,IEEE
"Singh, Kedar Nath; Baranwal, Naman; Singh, Amit Kumar; Agrawal, Amrit Kumar; Zhou, Huiyu; ","Using multimodal biometrics, data hiding and encryption for secure healthcare imaging system",IEEE Transactions on Consumer Electronics,,,,2024,IEEE
"Singh, Himanshu Kumar; Baranwal, Naman; Singh, Kedar Nath; Singh, Amit Kumar; ",Multilevel Ownership Protection via Watermarking and Encryption,IEEE Transactions on Computational Social Systems,,,,2025,IEEE
"Abadeh, P; Abbas, E; Abdalla, M; Abdelmoniem, AM; Adak, C; Adhikari, M; Affan, M; Agal, S; Agarwal, T; Akhter, MM; ",2025 Index IEEE Transactions on Computational Social Systems Vol. 12,,,,,,
